fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.58281,0.00535,0.00746,0.95998,0.00031,4.85953,0.95,4.14811,1.51813,2.35587,0.01298,0.64596,0.19932,0.0,0.07715,0.95,0.0,0.0,0.0,0.31474,0.0,0.82791,0.0,0.0,0.0,7
0.526,0.00489,0.00801,0.83815,0.0005,4.8982,0.77195,4.61585,2.38538,2.26682,0.01697,0.87492,0.23594,0.0,0.09837,0.72544,0.0,0.0,0.0,0.22618,0.0,0.52149,0.0,0.0,0.0,10
0.49509,0.00487,0.01183,0.91836,0.00043,4.68322,0.72787,4.3493,2.16499,1.74361,0.02669,0.77316,0.18335,0.0,0.11413,0.8889,0.0,0.0,0.0,0.25128,0.0,0.81337,0.0,0.0,0.0,8
0.51688,0.00442,0.0072,0.86264,0.00038,4.85585,0.95,4.71214,1.71359,1.13552,0.02102,0.73712,0.17482,0.0,0.07519,0.828,0.0,0.0,0.0,0.25288,0.0,0.8249,0.0,0.0,0.0,10
0.54293,0.00471,0.00454,0.85853,0.0005,4.3132,0.68156,5.12462,1.36399,0.94002,0.02317,0.82591,0.16354,0.0,0.05857,0.69808,0.0,0.0,0.0,0.28116,0.0,0.76882,0.0,0.0,0.0,10
0.6074,0.00579,0.00986,0.92151,0.00044,2.71281,0.95,5.19308,1.3063,1.98433,0.01688,0.71682,0.18313,0.0,0.08809,0.85134,0.0,0.0,0.0,0.22474,0.0,0.65217,0.0,0.0,0.0,10
0.48442,0.005,0.00532,0.89986,0.00025,2.4627,0.95,4.85071,2.22128,2.36826,0.03285,0.89786,0.12875,0.0,0.0739,0.88715,0.0,0.0,0.0,0.26045,0.0,0.63701,0.0,0.0,0.0,8
0.51507,0.00442,0.00867,0.84171,0.00046,2.47374,0.84444,6.89861,2.22565,1.22807,0.0205,0.53005,0.23461,0.0,0.09447,0.70183,0.0,0.0,0.0,0.22242,0.0,0.76216,0.0,0.0,0.0,8
0.56845,0.00708,0.00966,0.88008,0.00026,2.83166,0.6861,5.17103,1.47997,1.15517,0.01732,0.9,0.19761,0.0,0.0713,0.63891,0.0,0.0,0.0,0.23161,0.0,0.66085,0.0,0.0,0.0,10
0.53885,0.00585,0.01025,0.88265,0.00036,4.96579,0.87095,5.37535,2.0662,1.16188,0.02194,0.70382,0.19235,0.0,0.08382,0.77418,0.0,0.0,0.0,0.22605,0.0,0.81031,0.0,0.0,0.0,8
0.52999,0.00353,0.00706,0.85463,0.00041,2.7028,0.75586,4.45212,1.24993,2.93488,0.01288,0.78663,0.16577,0.0,0.07373,0.91702,0.0,0.0,0.0,0.35237,0.0,0.62026,0.0,0.0,0.0,5
