fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.432,0.00659,0.0118,0.91812,0.00067,5.0,0.74316,6.88721,0.51243,1.06229,0.02234,0.7429,0.35988,0.0,0.0686,0.3609,0.0,0.0,0.0,0.40043,0.0,0.92056,0.0,0.0,0.0,10
0.36764,0.00839,0.00747,0.97574,0.00042,5.0,0.71429,6.48605,0.53969,1.01524,0.02427,0.84113,0.68971,0.0,0.15295,0.37848,0.0,0.0,0.0,0.39744,0.0,0.92625,0.0,0.0,0.0,9
0.44171,0.00526,0.01008,0.89385,0.00037,5.0,0.81639,5.86537,0.74491,1.36263,0.01223,0.63063,0.4082,0.0,0.16316,0.67322,0.0,0.0,0.0,0.39795,0.0,0.96201,0.0,0.0,0.0,9
0.45152,0.0051,0.0097,0.8651,0.00035,3.54993,0.69305,7.41649,0.67631,1.00613,0.01283,0.9,0.3216,0.0,0.07882,0.37115,0.0,0.0,0.0,0.47949,0.0,1.0,0.0,0.0,0.0,10
0.45693,0.00515,0.00968,0.93369,0.00018,3.55213,0.60945,6.6398,0.62792,1.27215,0.00535,0.85762,0.49557,0.0,0.08591,0.34652,0.0,0.0,0.0,0.33572,0.0,0.96381,0.0,0.0,0.0,10
0.44601,0.00502,0.00983,0.88185,0.00042,5.0,0.63103,7.2143,0.59603,0.65101,0.00862,0.76464,0.41528,0.0,0.09532,0.41911,0.0,0.0,0.0,0.51067,0.0,0.99451,0.0,0.0,0.0,10
0.39243,0.00542,0.01302,0.87106,0.00023,2.84199,0.51782,6.55685,0.50117,1.3139,0.00633,0.86816,0.60087,0.0,0.12772,0.35699,0.0,0.0,0.0,0.41918,0.0,0.94113,0.0,0.0,0.0,10
0.45727,0.00513,0.00965,0.97066,0.00035,4.68864,0.59445,6.69082,0.46174,1.61747,0.01935,0.87658,0.30619,0.0,0.1451,0.48806,0.0,0.0,0.0,0.50061,0.0,0.87926,0.0,0.0,0.0,9
0.42674,0.00533,0.01115,0.98,0.0002,3.78075,0.66475,8.0259,0.53641,1.4033,0.02631,0.81237,0.33129,0.0,0.19258,0.38293,0.0,0.0,0.0,0.37344,0.0,0.925,0.0,0.0,0.0,9
0.38047,0.00649,0.00897,0.96807,0.00024,3.17922,0.69544,6.04073,0.65815,1.36234,0.01101,0.7705,0.39753,0.0,0.10735,0.67928,0.0,0.0,0.0,0.44502,0.0,0.97572,0.0,0.0,0.0,10
